"uuid","repository link","title","author","contributor","publication year","abstract","subject topic","language","publication type","publisher","isbn","issn","patent","patent status","bibliographic note","access restriction","embargo date","faculty","department","research group","programme","project","coordinates"
"uuid:21fba108-1bd5-4a01-bdcc-49259541f195","http://resolver.tudelft.nl/uuid:21fba108-1bd5-4a01-bdcc-49259541f195","Toekomstverkenning Onderwijs Ondersteunende Infrastructuur.","Van Staalduinen, J.","Veen, W. (mentor); Vrancken, J.L.M. (mentor); Mayer, I.S. (mentor); Emerge (contributor)","2004","","","","master thesis","","","","","","","","","Technology, Policy and Management","","","","",""
"uuid:63c0d280-69c4-4fd6-8857-72f1289fa324","http://resolver.tudelft.nl/uuid:63c0d280-69c4-4fd6-8857-72f1289fa324","Liniepark, silhouet van de stad","Eggink, D.A.","Van den Berg, R.G.P. (mentor); Bobbink, I. (mentor); Hulsbergen, E.D. (mentor)","2004","In dit project is aan de hand van locatiespecifieke kenmerken een strategie opgesteld voor de ontwikkeling van het buitengebied tussen Utrecht, De Bilt, Zeist en Bunnik. Beleidsmatige opgaven als de Deltametropool en de Nieuwe Hollandse Waterlinie zijn het kader waarbinnen het project vorm heeft gekregen. Geprobeerd is om de verstedelijkingsdruk op te vangen en tegelijkertijd de verschillende kwaliteiten en de leesbaarheid van het waardevolle en complexe landschap te versterken. Door het nationale infranetwerk weg te denken zijn missing links in het onderliggende regionale netwerk ontdekt. Dit netwerk is gecompleteerd waardoor het bovenliggende netwerk wordt ontlast. Dit regionale netwerk zorgt in samenhang met een zwerfnetwerk voor de bereikbaarheid en de toegankelijkheid van Liniepark. In het gebied zijn vijf verschillende landschappelijke eenheden gedefinieerd. De eenheden zijn landschappelijke structuren zoals waterlopen en landgoederen met de bijbehorende gronden. Deze eenheden zijn verdeeld in domeinen. Domeinen zijn kavels die bestaan uit een landelijke functie (agrarisch/recreatief) in combinatie met een stedelijke functie (UMC, universiteit / wonen). Het regionale netwerk is met de landschappelijke eenheden geconfronteerd. Hierdoor is het mogelijk om te bepalen welke functie het best geschikt is voor een bepaald domein. Voor elk type domein zijn regels opgesteld, zowel voor de ruimtelijke als de strategische ontwikkeling. De ruimtelijke uitwerking van de domeinen bevordert de herkenbaarheid van de landschappelijke eenheid en daarmee de leesbaarheid van het landschap. De toekomst van een boerenbedrijf en daarmee van het cultuurlandschap kan veilig worden gesteld door een financieringsmodel waarbij binnen domein de stedelijke functie meebetaalt aan de landelijke functie. De belangrijkste nieuwe verbinding is de doorsteek van de Uithof naar Bunnik. Zo ontstaat Linie-as die centraal is gelegen in Liniepark. Deze as doorsnijdt de verschillende landschappelijke eenheden en heeft een belangrijke aansluiting op Bunnik-west, een hoogwaardige locatie voor stedelijke ontwikkeling. De profilering van de as past zich aan de verschillende gebieden aan. Liniepark, silhouet van de stad is een schaduwstad in het landschap, waar de waterlinie haar stempel op drukt. De regio Utrecht verandert zo langzaam van een centraal georieerde regio in een netwerkstad waarbij de ontwikkeling van stad en landschap hand in hand gaan.","Stad; regio; landschap; infrastructuur; Deltametropool; Nieuwe Hollandse Waterlinie; Utrecht; Bunnik; Uithof; ontwikkelingsstrategie; Rood voor Groen; netwerkstad","nl","master thesis","","","","","","","","","Architecture","","","","",""
"uuid:b5febc6e-f2c5-4336-a051-581ca982360e","http://resolver.tudelft.nl/uuid:b5febc6e-f2c5-4336-a051-581ca982360e","Brunei maritime masterplan. Muara port development strategy","Prinsen, A.F.","Ligteringen, H. (mentor); Groenveld, R. (mentor); Noppen, J.P. (mentor); Vellinga, T. (mentor); Clarke, R. (mentor)","2004","","","en","master thesis","TU Delft, Faculty of Civil Engineering and Geosciences, Hydraulic Engineering","","","","","","","","Civil Engineering and Geosciences","","","","",""
